,x,y,word,cluster
273,-91.93966,44.993034,institución,6
274,-93.09001,1.7186836,interpretación,8
275,-55.99557,-34.478252,diferencia,14
276,-77.62045,-31.98776,antiguo,15
277,-95.00563,-21.215635,opción,2
278,-67.8247,-58.59223,etiqueta,2
279,-64.347,3.320071,realidad,3
280,-93.95158,0.6319999,aplicar,13
281,-69.16323,-56.96646,entidad,12
282,-28.323923,-16.251076,final,14
283,-53.561565,-27.23588,llegar,9
284,-82.22982,-0.9716669,grande,8
285,-73.546745,-48.74161,clasificación,2
286,-25.927113,-16.642626,país,5
287,-71.38237,-18.254116,ahora,9
288,-54.70616,-65.50117,lista,12
289,-80.085526,26.960371,editorial,9
290,-46.618633,-62.54951,total,12
291,-57.46249,-50.725746,común,14
292,-70.66986,2.938698,publicar,15
293,-87.469025,43.612396,tradicional,0
294,-73.48577,-49.917564,patrón,2
295,-75.17957,-28.326336,criterio,18
296,-100.85507,-10.168989,codificación,13
297,-79.72118,-26.31083,fotografía,8
298,-86.027596,28.427164,producción,8
299,-63.03891,-35.884647,tal,14
300,-63.76618,-46.58238,único,2
301,-49.55082,-28.088568,siempre,18
302,-24.19089,-20.257051,determinado,14
303,-64.94,-40.7086,referir,2
304,-89.81187,22.327206,comunicación,6
305,-42.333637,81.1579,carácter,0
306,-88.14093,-7.0588827,geográfico,2
307,-53.703434,-33.0518,claro,9
308,-74.168816,-18.743515,conocer,9
309,9.239446,105.92248,em,10
310,-63.687683,-61.718643,título,12
311,-84.35093,-14.164939,paso,9
312,-93.56786,-28.12206,sitio,8
313,-71.0245,-58.94067,clase,12
314,-91.01128,-29.763306,catálogo,2
315,-69.0896,-20.730534,mayoría,9
316,-78.7959,28.697857,realizado,8
317,-66.03695,-12.65061,aquí,3
318,-84.33983,-14.160197,fase,9
319,-99.06123,-15.72557,ontología,13
320,-38.581867,-51.05939,signo,14
321,-51.786247,-64.760445,alto,12
322,-49.459194,49.570923,saber,19
323,-105.58155,11.677799,repositorio,15
324,-82.780525,-30.93616,compartir,2
325,-74.190926,20.91218,respuesta,3
326,-104.03117,-6.4785995,proporcionar,13
327,-50.325874,14.155423,presencia,19
328,-95.236084,-4.2826333,cuantitativo,13
329,-81.440346,-26.577013,estudiar,8
330,-85.39393,42.379433,marco,0
331,-53.749256,-33.202362,quedar,9
332,-76.7946,-49.18391,grafo,2
333,-58.597893,-65.932076,variable,12
334,-64.696045,-18.670786,vista,9
335,-64.097176,15.311447,suponer,3
336,-65.63317,40.95182,antes,3
337,-87.03754,-26.354622,bibliográfico,18
338,54.133636,76.987274,personal,11
339,19.107676,90.18667,dado,5
340,-101.49515,23.508354,electrónico,15
341,-34.825607,-23.67803,importancia,19
342,-92.36402,39.907906,tecnológico,6
343,-101.05004,-9.96912,estándar,13
344,-92.61398,-28.608847,enlace,2
345,-79.83383,-39.130527,mejor,8
346,-35.15138,8.703169,explicar,19
347,-52.516853,-24.098984,dejar,18
348,-63.68414,-61.76019,fecha,9
349,-91.20821,48.75065,cultura,0
350,-44.698875,-60.087185,novela,14
351,-90.49688,39.661335,futuro,6
352,-20.488855,94.38364,sociedad,0
353,-49.84628,-47.2558,distinto,14
354,-58.390015,-66.80022,clave,12
355,-86.974785,43.72633,fundamental,0
356,-95.63853,6.3888555,requerir,8
357,39.736034,98.40434,of,10
358,-22.514215,94.56738,patrimonio,6
359,-103.84092,-8.694368,automático,13
360,-81.23423,-37.79043,interesante,9
361,-58.251045,-28.946861,aún,9
362,-77.78534,26.327768,propuesta,3
363,-44.507732,-62.20888,acto,12
364,-51.643166,15.407814,teatro,15
365,-74.302925,-32.21128,junto,18
366,-51.43627,-26.835085,definición,18
367,-70.72688,2.7329285,publicado,15
368,-87.71919,-42.92793,plano,2
369,-71.45829,47.33843,actividad,0
370,-72.372765,-57.81391,expresión,2
371,-4.401843,-6.2376623,similar,19
372,-83.83461,-45.913128,relativo,2
373,-62.09538,35.640507,tradición,18
374,-58.585014,-28.671265,amplio,9
375,-67.71218,64.48935,estrategia,0
376,-67.32054,-43.6387,dimensión,18
377,-55.666092,-50.237732,resto,14
378,-75.012726,-33.172756,pieza,14
379,-69.78037,-23.80306,puesto,2
380,-63.493187,-59.790356,corresponder,12
381,-89.3178,10.689589,construir,8
382,-66.08407,-37.74402,soler,18
383,-91.46599,37.79259,reflexión,6
384,-67.49866,-14.694683,asimismo,3
385,-78.06886,29.044909,comenzar,8
386,-66.24914,-12.290056,conclusión,9
387,-59.407837,-34.053223,pesar,9
388,-44.22327,-44.663025,unidad,18
389,-73.52221,-18.579851,sólo,8
390,-81.955376,45.97142,pretender,0
391,39.938187,98.164085,on,10
392,-104.34473,11.210527,documentación,8
393,-76.71075,38.902336,plantear,8
394,-98.602295,-11.251005,acceder,13
395,-46.721863,4.5514216,frente,18
396,-37.34342,-44.679523,léxico,14
397,-85.80201,2.9712992,visual,8
398,-55.11456,35.310875,actual,3
399,-35.854317,-25.436945,naturaleza,18
400,-49.39584,-28.278635,hablar,18
401,-84.43592,-42.963036,variación,2
402,-97.97653,-16.991442,etiquetado,2
403,-81.40852,-12.95965,mencionado,18
404,-101.12912,7.4319563,incorporar,8
405,-68.16029,-20.407526,pasar,9
406,-95.0672,39.24267,desarrollado,6
407,-70.43144,-59.537014,atributo,12
408,-44.953995,-16.041523,acuerdo,18
409,39.770126,98.37404,these,10
410,-79.4767,-40.83676,continuación,2
411,-89.25423,31.66568,virtual,6
412,-98.46626,-16.257435,consulta,2
413,-74.041275,20.556927,responder,3
414,-85.17934,44.531593,teórico,0
415,-90.60967,-31.421646,transcripción,15
416,-82.61148,-30.69768,añadir,2
417,-92.76938,-34.55685,aparato,15
418,-61.737587,-59.463436,muestra,12
419,-61.77338,-59.48151,población,12
420,-99.43413,15.463352,escritura,8
421,-40.644737,85.22146,nacional,0
422,-65.48093,-31.783155,depender,18
423,-91.00172,33.557358,soporte,6
424,-88.743126,48.91607,centro,0
425,-72.79574,-32.058777,inglés,18
426,-87.19039,10.812405,organización,8
427,-64.690575,3.4159994,pensar,3
428,-92.07328,-18.727886,descripción,8
429,-51.5275,-49.560085,leer,14
430,-101.624695,9.809735,disponer,8
431,-88.01343,35.896397,técnico,6
432,-25.142702,-25.637892,escribir,14
433,-46.35296,48.791615,yo,3
434,-62.849487,37.539806,pasado,0
435,-62.27004,36.097324,clásico,0
436,-61.126293,49.970936,implicar,3
437,-52.196182,-33.44336,mencionar,9
438,-104.25864,11.191858,documental,8
439,-81.45585,9.490711,capacidad,8
440,-69.095,-56.993023,tabla,12
441,-66.90845,-36.51777,simple,18
442,-71.652596,-40.099045,introducir,2
443,-74.195366,25.40286,centrar,3
444,-58.38839,-66.13341,distancia,12
445,54.15654,82.101746,datar,11
446,-86.813774,-26.96684,recoger,2
447,-54.625603,75.06128,fenómeno,0
448,-77.560905,-31.7758,nota,14
449,-78.0211,3.281675,formar,18
450,-89.15574,0.22905418,formal,2
451,-100.7542,23.035585,moderno,15
452,-55.381363,-40.533573,después,9
453,-34.392353,-24.084316,ocasión,18
454,-44.179646,-56.610195,significativo,14
455,-63.315163,-50.248287,prueba,18
456,-56.350563,74.89621,teoría,0
457,-89.0597,-16.302416,apartado,9
458,-13.528857,61.969063,postdigital,19
459,-46.24944,-44.37099,distribución,18
460,-51.10991,16.120872,época,19
461,7.809096,105.80149,carta,11
462,-92.506935,44.035755,equipo,6
463,-89.167946,-16.514727,sección,8
464,-78.87822,7.957375,debido,3
465,-90.073875,18.963476,enfoque,8
466,-82.1063,-37.517887,sencillo,2
467,-79.18362,-39.0284,aportar,2
468,-78.31566,-5.2023435,registro,8
469,-90.515114,-30.095224,digitalizado,15
470,-66.3989,-46.3385,relacionar,2
471,-22.144787,90.95927,explorar,0
472,-52.6067,-14.936811,caber,9
473,-93.24023,1.4096317,basar,8
474,-37.24595,12.908586,principio,19
475,-38.565746,-29.141111,acción,19
476,-56.76359,74.97885,crítica,0
477,-95.390915,6.0505247,necesitar,8
478,-75.1495,25.888817,abordar,0
479,-106.7736,-5.299839,libre,13
480,-50.379322,-61.30655,tragedia,12
481,-75.04047,4.983166,fondo,8
482,-55.66882,-31.309195,ir,14
483,-54.40698,-65.03408,aparición,12
484,-88.489876,32.732353,entorno,6
485,-98.539665,-0.8302955,utilidad,8
486,-63.216618,-49.88579,parámetro,18
487,-89.97701,-21.33973,calidad,8
488,-79.30232,-26.866863,existente,8
489,-66.646385,-15.193945,obstante,9
490,-63.694588,-59.782314,poema,12
491,-50.610477,-60.9922,drama,14
492,9.590597,71.41794,vida,5
493,-88.434814,-4.9771285,consistir,2
494,-38.980762,-51.20417,significado,14
495,-58.220917,-28.413515,allá,9
496,17.58675,84.336235,real,5
497,-56.023506,-47.73786,error,14
498,-23.54623,67.07675,especial,19
499,-96.97674,-17.071114,visualizar,2
500,60.103027,56.97003,color,5
501,-67.58172,-58.554726,correspondiente,12
502,-64.22211,-12.47527,mismo,18
503,-52.44636,-25.738916,razón,9
504,-82.6724,-45.027237,recuperar,2
505,-34.934753,-47.418636,determinar,14
506,-68.338844,-5.9709125,básico,18
507,-77.12977,-43.16993,obtenido,2
508,-80.68891,9.52519,ayudar,8
509,-82.85551,14.005317,previo,8
510,-92.87419,-20.37423,múltiple,8
511,-40.13267,84.64175,arte,0
512,-55.516304,-31.291637,poco,14
513,-78.275856,-46.76048,temático,2
514,-98.58287,-0.9386264,útil,8
515,-48.660053,49.183952,atención,0
516,-43.538635,-57.269432,menor,14
517,-78.95997,26.48732,labor,0
518,70.409256,61.025578,conceptual,7
519,-70.0475,-14.1242695,hora,18
520,-99.24595,9.123273,posterior,8
521,-92.35411,-18.459265,selección,2
522,-89.36562,-4.652339,emplear,8
523,9.424432,71.20103,día,5
524,-51.09433,-41.98048,marca,18
525,-101.72434,3.0783188,disposición,8
526,-32.292435,-20.685984,estilo,14
527,-85.62265,43.2483,contribuir,6
528,-41.948326,-49.225132,estar,14
529,-54.780167,-61.78665,verbo,12
530,-26.4683,-16.74768,periodo,19
531,-48.0936,16.688671,escritor,19
532,-19.401258,-15.776714,mantener,14
533,-81.82237,35.322376,comprender,8
534,-83.85816,-43.59924,seleccionar,2
535,-86.56965,-0.90304357,transformación,8
536,-53.284336,-26.99105,volver,9
537,-73.60627,-48.473835,algoritmo,2
538,-56.597298,-46.508087,marcar,14
539,-89.866005,-21.484144,otro,2
540,-80.03752,-39.567055,comparación,2
541,-88.26129,33.59215,producto,6
542,-54.04445,-62.567352,oración,12
543,-16.857824,85.316574,hoy,0
544,25.360239,81.285904,metodológico,5
545,-84.11332,44.902596,surgir,0
546,-70.97987,-59.017315,propiedad,12
547,-70.42532,26.271395,introducción,3
548,-45.66337,-59.367832,orden,14
549,-21.807013,94.02605,memoria,0
550,39.89463,98.21284,discourse,10
551,-66.18415,42.023083,venir,3
552,-43.716736,-38.893322,índice,18
553,-101.57186,8.62593,presentación,8
554,-67.29127,-20.085207,conocido,9
555,-69.81484,-23.580534,dominio,18
556,-48.995598,-31.020655,directo,18
557,-81.99984,-29.40563,finalmente,18
558,-91.35039,37.578644,humanista,6
559,-25.222206,-25.296951,casi,14
560,-65.65232,-45.878925,temporal,2
561,-71.40761,27.681007,numeroso,3
562,-94.359055,-21.027233,ventaja,8
563,-74.55201,18.344738,cambiar,3
564,-93.137924,7.7424483,interactivo,8
565,-50.0381,16.749107,medieval,19
566,-90.33111,18.969175,computacional,6
567,-82.576904,-43.30202,comparar,2
568,-48.13421,-37.428192,entrada,18
569,-20.030653,93.385185,debate,0
570,-65.82307,-14.474071,dificultad,9
571,-92.250114,44.437553,colaboración,6
572,-82.178986,-45.594193,extraer,2
573,-70.96945,28.199003,estado,3
574,-75.50159,-34.378414,fragmento,14
575,-90.53439,30.168964,dedicado,0
576,-71.62485,37.057976,periódico,3
577,-36.986084,-19.334087,poseer,14
578,-101.24666,3.7245297,actualmente,8
579,-58.016277,-30.281342,difícil,9
580,-69.60672,5.0847087,década,0
581,-36.96552,-44.31209,grado,14
582,-26.543646,-24.55649,igual,14
583,-46.62066,-60.75817,mención,14
584,-67.31016,-3.4876976,decisión,18
585,-63.034092,-48.74444,comprobar,2
586,-60.733757,29.117609,evolución,3
587,-75.78133,-20.657356,creer,18
588,-54.789898,75.04833,artístico,0
589,-53.921738,-62.48614,lema,12
590,-95.056435,39.195168,servicio,6
591,-24.69577,51.00045,actor,19
592,-81.47937,34.74939,abrir,8
593,-58.613617,-11.776269,intervención,18
594,-89.09908,49.466045,internacional,0
595,11.524529,72.42092,ciudad,5
596,-84.48226,10.67786,capaz,8
597,-72.33425,-32.218845,francés,14
598,-88.99927,36.05603,especializado,6
599,-24.516645,50.910572,comunicativo,19
600,-80.02481,35.03371,solución,3
601,-39.40852,84.183044,edad,0
