label,x,y,size,level
Racismo,-1369,217,2.23606797749979,2
Rafael Sanzio,-3,-582,3,2
Razonamiento deductivo,328,1152,3,2
Regla de oro (ética),-238,1470,1,2
René Descartes,731,972,3,2
República (Platón),-495,405,2.8284271247461903,2
Responsabilidad moral,-938,-148,1.4142135623730951,2
Ricardo Maliandi,-193,1458,1,2
Richard Rorty,895,490,2.8284271247461903,2
Robert Spaemann,-186,1449,1,2
Sentido común,607,978,2.6457513110645907,2
Sociobiología,-174,1114,2.449489742783178,2
Suerte moral,-261,1448,1,2
Superioridad moral,-216,1469,1,2
Tauromaquia,-236,1436,1,2
Teología moral,-480,829,1.4142135623730951,2
The Cambridge Dictionary of Philosophy,-224,1458,1,2
Thomas Nagel,407,829,2,2
Tomás de Aquino,-25,-45,3,2
Transliteración,265,775,2.23606797749979,2
Tratado de la naturaleza humana,-50,1462,1.4142135623730951,2
Umberto Eco,306,-401,3,2
Uso recreativo de drogas,-265,1445,1,2
Utilitarismo,527,126,2.8284271247461903,2
Valor (axiología),-118,210,3,2
Valor (ética),153,443,2.449489742783178,2
Veganismo,-981,1494,1.4142135623730951,2
Vegetarianismo,-730,1699,2.23606797749979,2
Verdad,469,759,3,2
Vicio,-227,1480,1,2
Violación,-257,1427,1,2
Virtus,-169,1478,1,2
Vitalismo,-231,1461,1,2
Voluntad,-678,-510,2.23606797749979,2
Votación,-250,1451,1,2
Wikcionario,254,517,3,2
Zoológicos,-235,1480,1,2
Ética ambiental,537,1573,1.4142135623730951,2
Ética budista,-957,1278,1.4142135623730951,2
Ética computacional,-284,1434,1,2
Ética de la ingeniería,-258,1457,1,2
Ética de las virtudes,530,1580,1.4142135623730951,2
Ética de los negocios,-179,1484,1,2
Ética del discurso,-221,1495,1,2
Ética evolucionista,-55,1477,1.4142135623730951,2
Ética laica,-252,1460,1,2
Ética militar,-214,1482,1,2
Ética médica,-269,1439,1,2
Ética nicomáquea,-210,1475,1,2
Ética para Amador,-46,1471,1.4142135623730951,2
Ética situacional,-179,1454,1,2
Andrés Garofalo,-240,1465,1,2
Libro de los Diálogos,-164,1494,1,2
Charles Taylor (philosopher),-815,1029,1.4142135623730951,2
Hary Gunarto,-233,1484,1,2
Rushworth Kidder,-267,1450,1,2
Linda Elder,-255,1465,1,2
Cambridge Dictionary of Philosophy,-196,1473,1,2
Bioeticista,-272,1435,1,2
Idiosincrásicos,-247,1429,1,2
Ética económica,-186,1481,1,2
Ética organizacional,-226,1449,1,2
