source_x,source_y,target_x,target_y,size
278,254,703,-563,3
278,254,281,-1247,3
278,254,-64,-28,3
278,254,-87,-2372,3
278,254,-16,-712,3
278,254,1081,196,3
278,254,668,1501,3
278,254,852,1972,3
278,254,915,2021,3
278,254,-907,683,3
278,254,893,-1379,3
278,254,-19,504,3
278,254,-1455,-1300,3
278,254,602,858,3
278,254,583,685,3
278,254,362,432,3
278,254,602,-246,3
278,254,-1927,443,3
278,254,-585,165,3
278,254,1237,284,3
278,254,1393,-676,3
278,254,-495,-95,3
278,254,423,-183,3
278,254,101,-1653,3
278,254,1429,1122,3
278,254,417,-1457,3
278,254,1112,-1876,3
278,254,777,707,3
278,254,961,620,3
278,254,472,1442,3
278,254,170,1478,3
278,254,-837,549,3
278,254,940,-888,3
278,254,-703,455,3
278,254,-995,523,3
278,254,495,-1920,3
278,254,964,379,3
278,254,207,-1024,3
278,254,-209,1561,3
278,254,352,-52,3
278,254,483,839,3
278,254,-830,-866,3
278,254,-1220,510,3
278,254,-1095,296,3
278,254,-665,-1247,3
278,254,-1272,-1201,3
278,254,1072,-156,3
278,254,1296,623,3
278,254,1252,1018,3
278,254,57,-942,3
278,254,-403,1591,3
278,254,842,-1852,3
278,254,-1555,824,3
278,254,-1546,590,3
278,254,-378,455,3
278,254,-697,692,3
278,254,-80,919,3
278,254,1565,-958,3
278,254,-75,567,3
278,254,1315,-44,3
278,254,849,703,3
278,254,464,-1278,3
278,254,-429,188,3
278,254,287,-739,3
278,254,-324,916,3
278,254,518,7,3
278,254,-1253,-169,3
278,254,282,-119,3
278,254,746,0,3
278,254,-336,645,3
278,254,1078,116,3
278,254,-1688,598,3
278,254,-112,1095,3
278,254,822,-687,1.7320508075688772
278,254,532,368,1
278,254,542,367,1
278,254,505,378,1
278,254,518,375,1
278,254,484,381,1
-112,1095,-273,1439,1
-112,1095,406,1529,1.7320508075688772
-112,1095,391,1529,1.7320508075688772
-112,1095,394,1521,1.7320508075688772
-112,1095,354,314,2.8284271247461903
-112,1095,338,1235,1.7320508075688772
-112,1095,414,122,3
-112,1095,752,-50,2
-112,1095,-211,1238,2.449489742783178
-112,1095,-232,1474,1
-112,1095,400,1539,1.7320508075688772
-112,1095,-277,1448,1
-112,1095,-203,1456,1
-112,1095,-156,1492,1
-112,1095,345,232,3
-112,1095,218,125,3
-112,1095,250,366,3
-112,1095,-202,1477,1
-112,1095,-392,1281,1.4142135623730951
-112,1095,-247,1472,1
-112,1095,-46,103,3
-112,1095,868,770,1.7320508075688772
-112,1095,1004,936,1.7320508075688772
-112,1095,-243,1442,1
-112,1095,308,52,1.7320508075688772
-112,1095,-236,1628,2.8284271247461903
-112,1095,96,313,3
-112,1095,-217,1445,1
