Id,Label,modularity_class,indegree,outdegree,degree,X,Y,Size,Color
22554860,gabinfantemx,8,0,7,7,0.643591,0.170934,0.001461,"#3e93ff"
22749856,Gephi,39,5,0,5,0.414245,0.395437,0.000487,"#00e8b2"
22756377,MUnibertsitatea,35,25,15,40,0.646344,0.609703,0.017535,"#008ebb"
22809165,academia,15,59,0,59,0.454795,0.480184,0.02679,"#ff0d69"
22847403,karuvf,46,1,11,12,0.200319,0.529969,0.003897,"#3bec00"
22940460,OpenEditionActu,12,2,3,5,0.396113,0.4396,0.000487,"#ff77ff"
22967014,MITGameLab,12,6,0,6,0.498355,0.352307,0.000974,"#ff77ff"
23009730,Troskiller,19,4,0,4,0.372456,0.472369,0,"#00ed5d"
23061724,NoticiasNavarra,49,3,1,4,0.618683,0.425159,0,"#8ecfec"
23117521,nabolom,26,4,4,8,0.350882,0.413314,0.001948,"#3e93ff"
23128421,fredgibbs,12,25,0,25,0.40417,0.447029,0.010229,"#ff77ff"
23207063,brunodesouza,39,0,5,5,0.373318,0.403852,0.000487,"#00e8b2"
23248260,lupicinio,12,1,5,6,0.382456,0.385331,0.000974,"#825403"
23265246,WalterScheidel,15,19,0,19,0.477398,0.482329,0.007306,"#006032"
23316910,dcaraban,46,4,2,6,0.467785,0.553698,0.000974,"#ffb800"
23617197,Javpa1_alien,46,0,4,4,0.281499,0.407618,0,"#ffb800"
23743511,bordalejo,46,2,9,11,0.401346,0.499324,0.00341,"#ffb800"
24075855,roopikarisam,0,9,13,22,0.31734,0.436065,0.008768,"#3e93ff"
24176576,aprestamo,42,0,4,4,0.323885,0.169498,0,"#005076"
24389472,jimccasey1,12,0,5,5,0.278304,0.430775,0.000487,"#ff77ff"
24539732,webnucleo,12,8,21,29,0.395526,0.4071,0.012177,"#ff77ff"
24603962,eagirre,12,0,4,4,0.380031,0.501118,0,"#ff77ff"
24625697,maestroluis,0,0,4,4,0.342661,0.432548,0,"#3e93ff"
24873432,mjuanro,17,1,5,6,0.358881,0.622058,0.000974,"#3bec00"
24925621,juliawants,0,0,9,9,0.331725,0.471405,0.002435,"#ffb800"
25521930,LancasterUni,10,7,0,7,0.428667,0.460919,0.001461,"#00ed5d"
25548535,Cafehistoria,39,5,0,5,0.527238,0.348512,0.000487,"#00e8b2"
25597820,edunisalle,26,2,3,5,0.270932,0.522989,0.000487,"#3bec00"
25702344,luiy,0,4,13,17,0.411201,0.453254,0.006332,"#3e93ff"
25710548,revista_EPI,48,15,3,18,0.46315,0.537357,0.006819,"#008ebb"
