Source,Target,Type,Id,Label,Weight,Color
455409829,1237141641133162496,Directed,25202,,1,"#000000"
455451340,1191725643932848130,Directed,25203,,1,"#000000"
455605329,11084,Directed,25204,,8,"#000000"
455605329,3365101,Directed,25205,,11,"#000000"
455605329,7067082,Directed,25206,,1,"#000000"
455605329,9893772,Directed,25207,,2,"#000000"
455605329,10020762,Directed,25208,,1,"#000000"
455605329,12632702,Directed,25209,,2,"#000000"
455605329,14359862,Directed,25210,,1,"#000000"
455605329,15468474,Directed,25211,,6,"#000000"
455605329,15762276,Directed,25212,,1,"#000000"
455605329,15901999,Directed,25213,,2,"#000000"
455605329,16085411,Directed,25214,,1,"#000000"
455605329,16571064,Directed,25215,,4,"#000000"
455605329,16590605,Directed,25216,,1,"#000000"
455605329,17278005,Directed,25217,,1,"#000000"
455605329,19392745,Directed,25218,,1,"#000000"
455605329,21880973,Directed,25219,,1,"#000000"
455605329,23316910,Directed,25220,,1,"#000000"
455605329,27255323,Directed,25221,,1,"#000000"
455605329,29420610,Directed,25222,,1,"#000000"
455605329,30697822,Directed,25223,,1,"#000000"
455605329,31731533,Directed,25224,,1,"#000000"
455605329,38394750,Directed,25225,,1,"#000000"
455605329,43339022,Directed,25226,,1,"#000000"
455605329,56688114,Directed,25227,,1,"#000000"
455605329,56957909,Directed,25228,,1,"#000000"
455605329,57623076,Directed,25229,,1,"#000000"
455605329,59805032,Directed,25230,,2,"#000000"
455605329,64368213,Directed,25231,,1,"#000000"
455605329,74683881,Directed,25232,,3,"#000000"
455605329,75339353,Directed,25233,,1,"#000000"
455605329,76746450,Directed,25234,,1,"#000000"
455605329,80386427,Directed,25235,,1,"#000000"
455605329,85343435,Directed,25236,,4,"#000000"
455605329,87408443,Directed,25237,,1,"#000000"
455605329,87918200,Directed,25238,,2,"#000000"
455605329,88245882,Directed,25239,,1,"#000000"
455605329,89168573,Directed,25240,,1,"#000000"
455605329,89718182,Directed,25241,,6,"#000000"
455605329,90495916,Directed,25242,,1,"#000000"
455605329,90549534,Directed,25243,,2,"#000000"
455605329,91511905,Directed,25244,,1,"#000000"
455605329,91927275,Directed,25245,,4,"#000000"
455605329,93655583,Directed,25246,,1,"#000000"
455605329,97591901,Directed,25247,,1,"#000000"
455605329,104894644,Directed,25248,,1,"#000000"
455605329,107051182,Directed,25249,,1,"#000000"
455605329,108280369,Directed,25250,,1,"#000000"
455605329,109154400,Directed,25251,,1,"#000000"
455605329,110465562,Directed,25252,,1,"#000000"
455605329,123949057,Directed,25253,,1,"#000000"
455605329,125391822,Directed,25254,,1,"#000000"
455605329,127961375,Directed,25255,,1,"#000000"
455605329,128936533,Directed,25256,,1,"#000000"
455605329,134037648,Directed,25257,,2,"#000000"
455605329,135828994,Directed,25258,,1,"#000000"
455605329,143199634,Directed,25259,,1,"#000000"
455605329,146494080,Directed,25260,,1,"#000000"
455605329,147319561,Directed,25261,,2,"#000000"
455605329,154202585,Directed,25262,,1,"#000000"
455605329,158445401,Directed,25263,,1,"#000000"
455605329,188008937,Directed,25264,,1,"#000000"
455605329,192981712,Directed,25265,,1,"#000000"
455605329,228875500,Directed,25266,,3,"#000000"
455605329,239846241,Directed,25267,,2,"#000000"
455605329,242343224,Directed,25268,,2,"#000000"
455605329,248378892,Directed,25269,,1,"#000000"
455605329,250065028,Directed,25270,,2,"#000000"
455605329,255681367,Directed,25271,,1,"#000000"
455605329,255964870,Directed,25272,,1,"#000000"
455605329,257913282,Directed,25273,,1,"#000000"
455605329,261813008,Directed,25274,,2,"#000000"
455605329,263044687,Directed,25275,,1,"#000000"
455605329,264435668,Directed,25276,,1,"#000000"
455605329,265568993,Directed,25277,,1,"#000000"
455605329,268192461,Directed,25278,,2,"#000000"
455605329,272036295,Directed,25279,,1,"#000000"
455605329,299924386,Directed,25280,,1,"#000000"
455605329,302504735,Directed,25281,,1,"#000000"
455605329,311979693,Directed,25282,,6,"#000000"
455605329,313297821,Directed,25283,,1,"#000000"
455605329,314542612,Directed,25284,,1,"#000000"
455605329,329246702,Directed,25285,,3,"#000000"
455605329,331064775,Directed,25286,,16,"#000000"
455605329,331195870,Directed,25287,,1,"#000000"
455605329,351699614,Directed,25288,,6,"#000000"
455605329,354544500,Directed,25289,,1,"#000000"
455605329,355642935,Directed,25290,,1,"#000000"
455605329,368927453,Directed,25291,,1,"#000000"
455605329,374395365,Directed,25292,,1,"#000000"
455605329,374630821,Directed,25293,,1,"#000000"
455605329,396241313,Directed,25294,,1,"#000000"
455605329,399710646,Directed,25295,,1,"#000000"
455605329,407308942,Directed,25296,,1,"#000000"
455605329,413210637,Directed,25297,,1,"#000000"
455605329,418011068,Directed,25298,,1,"#000000"
455605329,434968866,Directed,25299,,1,"#000000"
455605329,435970422,Directed,25300,,1,"#000000"
455605329,437837999,Directed,25301,,3,"#000000"
455605329,455605329,Directed,25302,,5,"#000000"
455605329,491200214,Directed,25303,,2,"#000000"
455605329,491663397,Directed,25304,,1,"#000000"
